2025-06-24 05:51:04,699 - __main__ - DEBUG - Configuration du logging terminée. Fichier zappy.log créé.
2025-06-24 05:51:04,699 - __main__ - INFO - Niveau de logging configuré à DEBUG pour tous les modules.
2025-06-24 05:51:04,699 - core.client - INFO - Tentative de connexion à localhost:3000
2025-06-24 05:51:04,700 - core.client - INFO - Socket connecté avec succès
2025-06-24 05:51:04,701 - core.client - INFO - En attente du message de bienvenue...
2025-06-24 05:51:04,701 - core.client - DEBUG - En attente de données du serveur...
2025-06-24 05:51:04,702 - core.client - DEBUG - Données reçues: WELCOME
2025-06-24 05:51:04,702 - core.client - INFO - Message reçu: WELCOME
2025-06-24 05:51:04,704 - core.client - INFO - Envoi du nom d'équipe: morg
2025-06-24 05:51:04,706 - core.client - DEBUG - Envoyé (7.0s): morg
2025-06-24 05:51:04,707 - core.client - INFO - En attente de la réponse du serveur...
2025-06-24 05:51:04,708 - core.client - DEBUG - En attente de données du serveur...
2025-06-24 05:51:04,708 - core.client - DEBUG - Données reçues: 177
15 20
2025-06-24 05:51:04,709 - core.client - INFO - Réponse reçue: 177
15 20
2025-06-24 05:51:04,710 - core.client - INFO - Numéro de client reçu: 177
2025-06-24 05:51:04,710 - core.client - INFO - Dimensions de la carte reçues dans la même réponse: 15 20
2025-06-24 05:51:04,710 - core.client - INFO - Dimensions de la carte parsées: (15, 20)
2025-06-24 05:51:04,711 - core.client - INFO - Connecté au serveur. Client #177, Carte: 15x20
2025-06-24 05:51:04,711 - __main__ - INFO - inventory created: {'food': 0, 'linemate': 0, 'deraumere': 0, 'sibur': 0, 'mendiane': 0, 'phiras': 0, 'thystame': 0}
2025-06-24 05:51:04,712 - __main__ - INFO - player 177 created on team morg at (7, 10)
2025-06-24 05:51:04,712 - models.map - INFO - map tile created: {'food': 0, 'linemate': 0, 'deraumere': 0, 'sibur': 0, 'mendiane': 0, 'phiras': 0, 'thystame': 0} []
2025-06-24 05:51:04,712 - models.map - INFO - map tile created: {'food': 0, 'linemate': 0, 'deraumere': 0, 'sibur': 0, 'mendiane': 0, 'phiras': 0, 'thystame': 0} []
2025-06-24 05:51:04,712 - models.map - INFO - map tile created: {'food': 0, 'linemate': 0, 'deraumere': 0, 'sibur': 0, 'mendiane': 0, 'phiras': 0, 'thystame': 0} []
2025-06-24 05:51:04,713 - models.map - INFO - map tile created: {'food': 0, 'linemate': 0, 'deraumere': 0, 'sibur': 0, 'mendiane': 0, 'phiras': 0, 'thystame': 0} []
2025-06-24 05:51:04,713 - models.map - INFO - map tile created: {'food': 0, 'linemate': 0, 'deraumere': 0, 'sibur': 0, 'mendiane': 0, 'phiras': 0, 'thystame': 0} []
2025-06-24 05:51:04,713 - models.map - INFO - map tile created: {'food': 0, 'linemate': 0, 'deraumere': 0, 'sibur': 0, 'mendiane': 0, 'phiras': 0, 'thystame': 0} []
2025-06-24 05:51:04,714 - models.map - INFO - map tile created: {'food': 0, 'linemate': 0, 'deraumere': 0, 'sibur': 0, 'mendiane': 0, 'phiras': 0, 'thystame': 0} []
2025-06-24 05:51:04,714 - models.map - INFO - map tile created: {'food': 0, 'linemate': 0, 'deraumere': 0, 'sibur': 0, 'mendiane': 0, 'phiras': 0, 'thystame': 0} []
2025-06-24 05:51:04,714 - models.map - INFO - map tile created: {'food': 0, 'linemate': 0, 'deraumere': 0, 'sibur': 0, 'mendiane': 0, 'phiras': 0, 'thystame': 0} []
2025-06-24 05:51:04,714 - models.map - INFO - map tile created: {'food': 0, 'linemate': 0, 'deraumere': 0, 'sibur': 0, 'mendiane': 0, 'phiras': 0, 'thystame': 0} []
2025-06-24 05:51:04,715 - models.map - INFO - map tile created: {'food': 0, 'linemate': 0, 'deraumere': 0, 'sibur': 0, 'mendiane': 0, 'phiras': 0, 'thystame': 0} []
